Id;VocabularyId;Synonyms;Opposites
1;1;decrease, lessen, diminish, reduce, lower, moderate, ease, soothe, relieve, dampen, calm, tone down, alleviate, mitigate, mollify, allay, assuage, palliate, temper, appease, attenuate;grow, amplify, increase, enhance, extend, dilate, sprout, expand
2;2;exceptional, aberrated, abnormal, anomalous, atypical, especial, exceeding, extraordinaire, extraordinary, freak, odd, peculiar, phenomenal, preternatural, rare, singular, uncommon, uncustomary, unique, unusual, unwonted;common, customary, normal, ordinary, typical, unexceptional, unextraordinary, usual
3;3;cold storage, deep freeze, doldrums, dormancy, holding pattern, latency, suspended animation, suspense, suspension;under way, continuing, continue, resume
4;4;run away, escape, bolt, clear out, flee, make off, take flight, take off;abide, remain, stay, stick around
5;5;self-disciplined, self-denying, restrained, self-restrained, non-indulgent, sober, ascetic, puritanical, spartan, strict, severe;self-indulgent, intemperate, greedy
6;6;acquiesce, agree, assent, come round, go along with, subscribe;refuse, deny
7;7;honour, recognition, privilege, approval, admiration, approbation, testimonial, praise, welcome;criticism, correction, harangue, lecture
8;8;give, grant, tender, present, award, hand, vouchsafe, concede, yield, cede;differ, disagree
9;9;rebuke, scold, reprove, upbraid, chastise, chide, censure, castigate, lambaste, berate, reproach, lecture, criticize;praise, discourage
10;10;degrade, debase, spoil, taint, defile, contaminate, pollute, foul, sully;clarify, clean, distill, leach, better, enhance, improve
11;11;arrival, appearance, emergence, materialization, surfacing, occurrence, dawn, origin, birth, rise, development;departure, disappearance
12;12;decorative, ornamental, graceful, elegant, exquisite, beautiful, attractive;homely, plain, ugly
13;13;collection, mass, cluster, lump, clump, pile, heap, bundle, quantity, total, combined, whole, gross, accumulated;uncombined, part, individual, net
14;14;eagerness, willingness, readiness; enthusiasm, ardour, fervour, keenness, joyousness, liveliness, zeal;;slowness, sluggishness; apathy
15;15;reduce, ease, relieve, deaden, dull, diminish, lessen, weaken, lighten, attenuate, allay, assuage, palliate, damp, soothe, help, soften, temper, control;harm, hurt, impair, injure; heighten, intensify, sharpen
16;16;combine, merge, unite, integrate, fuse, blend, mingle, coalesce, consolidate, meld, intermingle, mix, intermix, incorporate, affiliate;;break down, break up, separate, unmix
17;17;cryptic, dark, deep, murky, mysterious, mystic, nebulous, occult, opaque;unambiguous, clear
18;18;equivocation, uncertainty, unsureness, doubt, indecision, hesitation, hesitancy, fluctuation, tentativeness;certainty, decisiveness
19;19;amend, better, enhance, enrich, help, meliorate, perfect, refine, upgrade;damage, harm, hurt, impair, injure, spoil
20;20;artifact, unusual person;normal
21;21;comparable, parallel, similar, like, corresponding, related, kindred, matching, cognate, equivalent, symmetrical, homologous;dissimilar, unrelated
22;22;awlessness, revolution, riot, disorder, confusion, chaos, misrule, disorganization, misgovernment;government, order
23;23;abnormal, atypical, irregular, aberrant, exceptional, freak, odd, peculiar, unusual, inconsistent;normal, typical, regular
24;24;hostility, antagonism, animosity, aversion, opposition, enmity, dislike, distaste, hatred, abhorrence, loathing;liking, affinity, rapport
25;25;unconcern, uninterestedness, unresponsiveness, impassivity, passiveness, detachment, dispassion;enthusiasm, interest, passion
26;26;placate, pacify, propitiate, palliate, allay, reconcile, win over;provoke, frustrate
27;27;inform, notify, tell, let know, advise, brief, intimate, update, keep up to speed, enlighten;misinform, mislead
28;28;approval, acceptance, endorsement, encouragement, recognition, appreciation, support, respect, admiration;criticism
29;29;seize, commandeer, expropriate, annex, arrogate, sequestrate, take over, assume, secure, acquire, wrest, usurp, claim;lose, renounce
30;30;natural, naive, simple, innocent, childlike, pure, ingenuous, guileless;scheming, fake, false
31;31;simple, rigorous, strict, severe, self-disciplined;sybaritic
32;32;diligent, careful, meticulous, thorough, sedulous, attentive, industrious;idle, inactive, unbusy, unemployed
