Id;Lesson;Vocabulary;Pronunciation;EnglishDef;Learned;Bookmarked
1;1;Abate;Low;Become less in amount or intensity or decreasing;0;0
2;1;Aberrant;High;Different from the usual or natural type. Abnormal or Deviant.;0;0
3;1;Abeyance;Medium;A state of temporary disuse or suspension.;0;0
4;1;Abscond;Low;Leave hurriedly and secretly, typically to escape from custody or avoid arrest.;0;0
5;1;Abstemious;Low;sparing in eating and drinking; not affected by alcohol; not drunk.;0;0
6;1;Accede;Low;agree to a demand, request, or treaty.;0;0
7;1;Accolade;High;an award or privilege granted as a special honour or as an acknowledgement of merit.;0;0
8;1;Accord;Medium;give or grant someone (power, status, or recognition).;0;0
9;1;Admonish;Low;advise or urge (someone) earnestly.;0;0
10;1;Adulterate;Low;to corrupt; make impure by adding inferior or tainted substances;0;0
11;2;Advent;High;arrival of thing or person;0;0
12;2;Aesthetic;High;artistic; pleasing in appearance;0;0
13;2;Aggregate;High;formed or calculated by the combination of several separate elements; total.;0;0
14;2;Alacrity;Low;cheerful promptness; eagerness;0;0
15;2;Alleviate;High;make (suffering, deficiency, or a problem) less severe. Provide physical relief;0;0
16;2;Amalgamate;Medium;combine or unite to form one organization or structure.;0;0
17;2;Ambiguous;High;unclear or uncertain or doubtful in meaning;0;0
18;2;Ambivalence;High;the state of having mixed feelings or contradictory ideas about something or someone.;0;0
19;2;Ameliorate;High;improve or to make better;0;0
20;2;Anachronism;Medium;something as happening in other than chronological, proper, or historical order. Especially a person or practice that belongs to an earlier time;0;0
21;3;Analogous;High;comparable in certain respects / typically in a way which makes clearer the nature of the things compared.;0;0
22;3;Anarchy;Medium;a state of disorder due to absence or non-recognition of authority or other controlling systems.;0;0
23;3;Anomalous;High;abnormal; irregular; deviating from what is standard, normal, or expected.;0;0
24;3;Antipathy;Medium;dislike; a deep-seated feeling of aversion.;0;0
25;3;Apathy;High;lack of caring, interest, enthusiasm, or concern; indifferent;0;0
26;3;Appease;Low;pacify or soothe; to lessen the anger or agitation;0;0
27;3;Apprise;Low;inform or tell (someone).;0;0
28;3;Approbation;Low;approval or praise;0;0
29;3;Appropriate;High;take (something) for one's own use, typically without the owner's permission..;0;0
30;3;Artless;Low;without guile; open and honest; natural and simple.;0;0
31;4;Ascetic;High;having a strict and simple way of living that avoids physical pleasure.;0;0
32;4;Assiduous;Low;showing great care, attention, and effort;0;0
33;4;Assuage;Medium;make less intense and satisfy;0;0
34;4;Attenuate;High;make thinner; weaken or lessen;0;0
35;4;Audacious;Medium;showing a willingness to take surprisingly bold risks.;0;0
36;4;Austere;High;severe or strict in manner or attitude.;0;0
37;4;Autonomous;High;having the freedom to govern itself or control its own affairs.;0;0
38;4;Aver;Low;say confidently or declare; as used in law, as a fact;0;0
39;4;Banal;High;lacking in originality;0;0
40;4;Beneficent;Low;doing good; resulting in good.;0;0
41;5;Bolster;High;support or strengthen.;0;0
42;5;Bombastic;Medium;high-sounding but with little meaning; using inflated language;0;0
43;5;Boorish;High;rude; rough and bad-mannered;;0;0
44;5;Burgeoning;High;begin to grow or increase rapidly; growing quickly;0;0
45;5;Burnish;High;make shinny by rubbing; polish;0;0
46;5;Buttress;Medium;a source of defence or support.;0;0
47;5;Cacophonous;High;involving or producing a harsh, discordant mixture of sounds.;0;0
48;5;Capricious;Low;unpredictable; unaccountable changes of mood or behaviour.;0;0
49;5;Castigation;Low;punishment; severe criticism;0;0
50;5;Catalyst;Medium;person or thing that causes action;0;0
51;6;Caustic;Low;able to burn; sarcastically biting;0;0
52;6;Cessation;Medium;stoppage; brought to an end.;0;0
53;6;Cession;Low;yielding to another; surrendering;0;0
54;6;Chicanery;Medium;Use of clever underhanded actions to achieve an end;0;0
55;6;Cogent;Medium;clear, logical, and convincing.;0;0
56;6;Commensurate;High;corresponding in size or degree; in proportion.;0;0
57;6;Compendium;High;detailed information about a particular subject;0;0
58;6;Complaisant;Low;trying to please; overly polite;0;0
