Id;Lesson;Vocabulary;EnglishDef;Learned;Bookmarked
1;1;Abate;Become less in amount or intensity or decreasing;0;0
2;1;Aberrant;Different from the usual or natural type. Abnormal or Deviant.;0;0
3;1;Abeyance;A state of temporary disuse or suspension.;0;0
4;1;Abscond;Leave hurriedly and secretly, typically to escape from custody or avoid arrest.;0;0
5;1;Abstemious;sparing in eating and drinking; not affected by alcohol; not drunk.;0;0
6;1;Accede;agree to a demand, request, or treaty.;0;0
7;1;Accolade;an award or privilege granted as a special honour or as an acknowledgement of merit.;0;0
8;1;Accord;give or grant someone (power, status, or recognition).;0;0
9;1;Admonish;advise or urge (someone) earnestly.;0;0
10;1;Adulterate;to corrupt; make impure by adding inferior or tainted substances;0;0
11;2;Advent;arrival of thing or person;0;0
12;2;Aesthetic;artistic; pleasing in appearance;0;0
13;2;Aggregate;formed or calculated by the combination of several separate elements; total.;0;0
14;2;Alacrity;cheerful promptness; eagerness;0;0
15;2;Alleviate;make (suffering, deficiency, or a problem) less severe. Provide physical relief;0;0
16;2;Amalgamate;combine or unite to form one organization or structure.;0;0
17;2;Ambiguous;unclear or uncertain or doubtful in meaning;0;0
18;2;Ambivalence;the state of having mixed feelings or contradictory ideas about something or someone.;0;0
19;2;Ameliorate;improve or to make better;0;0
20;2;Anachronism;something as happening in other than chronological, proper, or historical order. Especially a person or practice that belongs to an earlier time;0;0
21;3;Analogous;comparable in certain respects / typically in a way which makes clearer the nature of the things compared.;0;0
22;3;Anarchy;a state of disorder due to absence or non-recognition of authority or other controlling systems.;0;0
23;3;Anomalous;abnormal; irregular; deviating from what is standard, normal, or expected.;0;0
24;3;Antipathy;dislike; a deep-seated feeling of aversion.;0;0
25;3;Apathy;lack of caring, interest, enthusiasm, or concern; indifferent;0;0
26;3;Appease;pacify or soothe; to lessen the anger or agitation;0;0
27;3;Apprise;inform or tell (someone).;0;0
28;3;Approbation;approval or praise;0;0
29;3;Appropriate;take (something) for one's own use, typically without the owner's permission..;0;0
30;3;Artless;without guile; open and honest; natural and simple.;0;0
31;4;Ascetic;having a strict and simple way of living that avoids physical pleasure.;0;0
32;4;Assiduous;showing great care, attention, and effort;0;0
33;4;Assuage;make less intense and satisfy;0;0
34;4;Attenuate;make thinner; weaken or lessen;0;0
35;4;Audacious;showing a willingness to take surprisingly bold risks.;0;0
36;4;Austere;severe or strict in manner or attitude.;0;0
37;4;Autonomous;having the freedom to govern itself or control its own affairs.;0;0
38;4;Aver;say confidently or declare; as used in law, as a fact;0;0
39;4;Banal;lacking in originality;0;0
40;4;Beneficent;doing good; resulting in good.;0;0
41;5;Bolster;support or strengthen.;0;0
42;5;Bombastic;high-sounding but with little meaning; using inflated language;0;0
43;5;Boorish;rude; rough and bad-mannered;;0;0
44;5;Burgeoning;begin to grow or increase rapidly; growing quickly;0;0
45;5;Burnish;make shinny by rubbing; polish;0;0
46;5;Buttress;a source of defence or support.;0;0
47;5;Cacophonous;involving or producing a harsh, discordant mixture of sounds.;0;0
48;5;Capricious;unpredictable; unaccountable changes of mood or behaviour.;0;0
49;5;Castigation;punishment; severe criticism;0;0
50;5;Catalyst;person or thing that causes action;0;0
51;6;Caustic;able to burn; sarcastically biting;0;0
52;6;Cessation;stoppage; brought to an end.;0;0
53;6;Cession;yielding to another; surrendering;0;0
54;6;Chicanery;Use of clever underhanded actions to achieve an end;0;0
55;6;Cogent;clear, logical, and convincing.;0;0
56;6;Commensurate;corresponding in size or degree; in proportion.;0;0
57;6;Compendium;detailed information about a particular subject;0;0
58;6;Complaisant;trying to please; overly polite;0;0
59;6;Compliant;obey rules, especially to an excessive degree;0;0
60;6;Conciliatory;to make (someone) more friendly or less angry;0;0
61;7;Condone;accept (behaviour that is considered morally wrong or offensive). forgive; excuse;0;0
62;7;Confound;cause surprise or confusion in (someone);0;0
63;7;Connoisseur;an expert judge in matters of taste.;0;0
64;7;Contention;heated disagreement.;0;0
65;7;Contentious;causing or likely to cause an argument; controversial.;0;0
66;7;Contrite;feeling or expressing pain or sorrow for sins or offenses;0;0
67;7;Converge;approach; tend to meet;0;0
68;7;Convoluted;extremely complex and difficult to follow.;0;0
69;7;Craven;lack of courage, cowardly;0;0
70;7;Daunt;to make (someone) afraid or less confident;0;0
71;8;Decorum;propriety; orderliness and good taste in manners;0;0
72;8;Default;failure to fulfil a bond;0;0
73;8;Deference;polite submission and respect.;0;0
74;8;Delineate;to draw; sketch;0;0
75;8;Denigrate;criticize unfairly;0;0
76;8;Deride;make fun of or laughter;0;0
77;8;Derivative;unoriginal; obtained from another source;0;0
78;8;Desiccate;remove the moisture from (something), typically in order to preserve it.;0;0
79;8;Desultory;aimless; lacking a plan, purpose, or enthusiasm;0;0
80;8;Deterrent;something that discourages;0;0
81;9;Diatribe;a forceful and bitter verbal attack against someone or something.;0;0
82;9;Dichotomy;branching into two parts;0;0
83;9;Diffidence;lack of self-confidence.;0;0
84;9;Diffuse;wordy; rambling; spread out;0;0
85;9;Digression;wandering away from the subject;0;0
86;9;Disabuse;correct a false impression;0;0
87;9;Discerning;having or showing good judgement.;0;0
88;9;Discordant;disagreeing and conflicting;0;0
89;9;Discredit;destroy confidence in; harm the good reputation of.;0;0
90;9;Discrepancy;lack of consistency or similarity between two or more facts.;0;0
91;10;Discrete;individually separate and distinct.;0;0
92;10;Disingenuous;not candid or sincere, typically by pretending that one knows less about something than one really does.;0;0
93;10;Disinterested;not influenced by considerations of personal advantage;0;0
94;10;Disjointed;lacking coherence; separated at the joints;0;0
95;10;Dismiss;eliminate from consideration; reject;0;0
96;10;Disparage;represent as being of little worth.;0;0
97;10;Disparate;essentially different in kind; not able to be compared.;0;0
98;10;Dissemble;imitate one's true feelings or beliefs.;0;0
99;10;Disseminate;spread (something, especially information) widely.;0;0
100;10;Dissolution;the action of formally ending;0;0
101;11;Dissonance;lack of harmony among musical notes.;0;0
102;11;Distend;cause to swell by pressure from inside.;0;0
103;11;Distill;purify (a liquid) by heating it so that it vaporizes;0;0
104;11;Diverge;separate from another route and go in a different direction.;0;0
105;11;Divest;to end the occupancy or possession;0;0
106;11;Document;a piece of written, printed, or electronic matter that provides information or evidence;0;0
107;11;Dogmatic;marked by the forceful expression;0;0
108;11;Dormant;in or as if in a deep sleep.;0;0
109;11;Dupe;someone easily fooled;0;0
110;11;Ebullient;showing excitement; overflowing with enthusiasm;0;0
111;12;Eclectic;taste from a broad and diverse range of sources;0;0
112;12;Efficacy;power to produce desired effect;0;0
113;12;Effrontery;rude behaviour.;0;0
114;12;Elegy;poem or song expressing sarrow;0;0
115;12;Elicit;draw out by discussion;0;0
116;12;Embellish;make (something) more attractive;0;0
117;12;Empirical;verifiable by observation or experience rather than theory or pure logic.;0;0
118;12;Emulate;to be the same in meaning or effect;0;0
119;12;Endemic;belonging to a particular place by birth or origin;0;0
120;12;Enervate;make (someone) feel weaken;0;0
121;13;Engender;to be the cause of (a situation, action, or state of mind);0;0
122;13;Enhance;further improve the quality, value;0;0
123;13;Ephemeral;lasting for a very short time.;0;0
124;13;Equanimity;calmness and composure, especially in a difficult situation.;0;0
125;13;Equivocate;to avoid giving a definite answer or misleading;0;0
126;13;Erudite;showing great knowledge;0;0
127;13;Esoteric;hard to understand; known only to the chosen few;0;0
128;13;Eulogy;expression of praise (or) often on the occasion of someone's death;0;0
129;13;Euphemism;mild expression in place of an unpleasant one;0;0
130;13;Exacerbate;make (a problem, bad situation, or negative feeling) worse.;0;0
131;14;Exculpate;show or declare that (someone) is not guilty of wrongdoing.;0;0
132;14;Exigency;urgent situation; an urgent need or demand.;0;0
133;14;Extrapolation;projection; conjecture;0;0
134;14;Facetious;treating serious issues with inappropriate humour;0;0
135;14;Facilitate;make less difficult; make (an action or process) easy or easier.;0;0
136;14;Fallacious;based on a mistaken belief.;0;0
137;14;Fatuous;silly and pointless.;0;0
138;14;Fawning;do favors in order to win approval especially from a superior;0;0
139;14;Felicitous;well chosen or suited to the circumstances.;0;0
140;14;Fervor;intense and passionate feeling.;0;0
141;15;Flag;mark (an item) for attention or treatment in a specified way.;0;0
142;15;Fledgling;a person or organization that is immature, inexperienced, or underdeveloped.;0;0
143;15;Flout;openly disregard;0;0
144;15;Foment;instigate or stir up (an undesirable or violent sentiment or course of action).;0;0
145;15;Forestall;prevent by taking action in advance;0;0
146;15;Frugality;careful management of material resources;0;0
147;15;Futile;incapable of producing useful result;0;0
148;15;Gainsay;deny or contradict (a fact or statement).;0;0
149;15;Garrulous;excessively talkative, especially on trivial matters.;0;0
150;15;Goad;strong action or reaction on someone;0;0
151;16;Grandiloquent;pompous; bombastic; using high-sounding language;0;0
152;16;Gregarious;(of a person) fond of company; sociable.;0;0
153;16;Guileless;innocent and without deception.;0;0
154;16;Gullible;easily persuaded to believe something;0;0
155;16;Harangue;a lengthy and aggressive speech.;0;0
156;16;Homogeneous;of the same kind;0;0
157;16;Hyperbole;exaggerated statements or claims not meant to be taken literally;0;0
158;16;Iconoclastic;criticizing or attacking cherished beliefs or institutions.;0;0
159;16;Idolatry;the worship of idols.;0;0
160;16;Immutable;unable to be changed.;0;0
161;17;Impair;weaken or damage (something, especially a faculty or function).;0;0
162;17;Impassive;not feeling or showing emotion.;0;0
163;17;Impede;delay or prevent (someone or something) by obstructing them;0;0
164;17;Impermeable;not allowing fluid to pass through.;0;0
165;17;Imperturbable;unable to be upset or excited; calm.;0;0
166;17;Implacable;incapable of being pacified; unable to be allay or placated.;0;0
167;17;Implicit;suggested though not directly expressed.;0;0
168;17;Implode;to fall down or in as a result of physical pressure;0;0
169;17;Inadvertently;without intention; accidentally.;0;0
170;17;Inchoate;just begun and so not fully formed or developed;0;0
171;18;Incongruity;lack of harmony; absurdity;0;0
172;18;Incorporate;introduce something into a larger whole; combine;0;0
173;18;Indeterminate;not exactly known, established, or defined;0;0
174;18;Indigence;a state of extreme poverty;0;0
175;18;Indolent;wanting to avoid activity; lazy.;0;0
176;18;Inert;lacking power to move;0;0
177;18;Ingenuous;(of a person or action) innocent and unsuspecting.;0;0
178;18;Inherent;firmly established by nature or habit;0;0
179;18;Innocuous;not harmful or offensive.;0;0
180;18;Insensible;without one's mental faculties, typically as a result of injury or intoxication; unconscious.;0;0
181;19;Insinuate;suggest (or) hint (something bad) in an indirect and unpleasant way.;0;0
182;19;Insipid;lacking flavour; weak or tasteless.;0;0
183;19;Insularity;ignorance of or lack of interest in cultures, ideas, or peoples outside one's own experience.;0;0
184;19;Intractable;hard to control or deal with.;0;0
185;19;Intransigence;refusal of any compromise; stubbornness;0;0
186;19;Inundate;covered by full of water; flood;0;0
187;19;Inured;something unpleasant; hardened;0;0
188;19;Irascible;easily irritated or annoyed;0;0
189;19;Irresolute;showing or feeling hesitancy; uncertain.;0;0
190;19;Itinerary;a planned route or journey.;0;0
191;20;Laconic;brief and to the point;0;0
192;20;Lassitude;a complete depletion of energy or strength;0;0
193;20;Latent;not being in a state of use, activity, or employment;0;0
194;20;Laud;praise (a person or their achievements) highly;0;0
195;20;Lethargic;slow to move or act;0;0
196;20;Levity;lack of seriousness or steadiness; frivolity;0;0
197;20;Log;a regular or systematic record of incidents or observations.;0;0
198;20;Loquacious;tending to talk a great deal; talkative.;0;0
199;20;Lucid;expressed clearly; easy to understand.;0;0
200;20;Luminous;giving off light; bright or shining.;0;0
201;21;Magnanimity;the fact or condition of being magnanimous; generosity.;0;0
202;21;Malingerer;one who feigns illness to escape duty;0;0
203;21;Malleable;capable of being easily molded or modeled;0;0
204;21;Maverick;independent-minded person.;0;0
205;21;Mendacious;not telling the truth; lying.;0;0
206;21;Metamorphosis;change of form;0;0
207;21;Meticulous;showing great attention to detail; very careful and precise.;0;0
208;21;Misanthrope;a person who dislikes humankind and avoids human society.;0;0
209;21;Mitigate;make (something bad) less severe, serious, or painful.;0;0
210;21;Mollify;reduce the severity of (something).;0;0
211;22;Morose;causing or marked by an atmosphere lacking in cheer;0;0
212;22;Mundane;lacking interest or excitement; dull.;0;0
213;22;Negate;deny the existence of.;0;0
214;22;Neophyte;a person who is new to a subject or activity.;0;0
215;22;Obdurate;having or showing a lack of sympathy or tender feelings;0;0
216;22;Obsequious;obedient or attentive to an excessive or servile degree.;0;0
217;22;Obviate;make unnecessary; get rid of;0;0
218;22;Officious;enthusiastic in offering help or advice;0;0
219;22;Onerous;involving a great deal of effort, trouble, or difficulty.;0;0
220;22;Opprobrium;harsh criticism or censure.;0;0
221;23;Oscillate;move or swing back and forth in a regular rhythm.;0;0
222;23;Ostentatious;showy; pretentious; trying to attract attention;0;0
223;23;Paragon;model of perfection;0;0
224;23;Partisan;a strong supporter of a party, cause, or person.;0;0
225;23;Pathological;pertaining to disease;0;0
226;23;Paucity;insufficient quantities or amounts.;0;0
227;23;Pedantic;showing off learning; bookish;0;0
228;23;Penchant;a strong or habitual liking for something or tendency to do something.;0;0
229;23;Penury;the state of being very poor; extreme poverty.;0;0
230;23;Perennial;existing for a long;0;0
231;24;Perfidious;not true in one's allegiance to someone or something;0;0
232;24;Perfunctory;carried out without real interest, feeling, or effort.;0;0
233;24;Permeable;allowing liquids or gases to pass through it.;0;0
234;24;Pervasive;spreading widely throughout an area or a group of people.;0;0
235;24;Phlegmatic;calm; not easily disturbed;0;0
236;24;Piety;belief and trust in and loyalty to God;0;0
237;24;Placate;make (someone) less angry or hostile.;0;0
238;24;Plasticity;the quality of being easily shaped or moulded.;0;0
239;24;Platitude;an idea or expression that has been used by many people;0;0
240;24;Plethora;a large or excessive amount of something.;0;0
241;25;Porous;capable of being passed into or through;0;0
242;25;Pragmatic;practical; concerned with the practical worth or impact of something;0;0
243;25;Precarious;dependent on chance; uncertain.;0;0
244;25;Precipitate;cause to happen suddenly, unexpectedly, or prematurely.;0;0
245;25;Precursor;a person or thing that comes before another of the same kind; a forerunner.;0;0
246;25;Presumptuous;showing a lack of proper social reserve or modesty;0;0
247;25;Prevaricate;to make a statement one knows to be untrue; lie;0;0
248;25;Pristine;unused or unspoiled state;0;0
249;25;Probity;the quality of having strong moral principles;0;0
250;25;Problematic;presenting a problem.;0;0
251;26;Prodigal;wasteful; reckless with money;0;0
252;26;Profound;very great or intense.;0;0
